"","testData.Churn","testData.temp.name"
"1",0,"0013-MHZWF"
"2",0,"0056-EPFBG"
"3",1,"0067-DKWBL"
"4",0,"0076-LVEPS"
"5",0,"0096-FCPUF"
"6",1,"0117-LFRMW"
"7",1,"0156-FVPTA"
"8",0,"0191-EQUUH"
"9",0,"0228-MAUWC"
"10",0,"0277-BKSQP"
"11",0,"0282-NVSJS"
"12",0,"0295-QVKPB"
"13",0,"0314-TKOSI"
"14",1,"0322-CHQRU"
"15",0,"0377-JBKKT"
"16",0,"0384-RVBPI"
"17",0,"0411-EZJZE"
"18",1,"0415-MOSGF"
"19",0,"0440-QEXBZ"
"20",0,"0674-EYYZV"
"21",0,"0701-TJSEF"
"22",1,"0742-MOABM"
"23",0,"0774-IFUVM"
"24",1,"0778-NELLA"
"25",0,"0799-DDIHE"
"26",1,"0822-GAVAP"
"27",1,"0823-HSCDJ"
"28",0,"0842-IWYCP"
"29",0,"0856-NAOES"
"30",0,"0867-LDTTC"
"31",1,"0870-VEMYL"
"32",0,"0872-JCPIB"
"33",0,"0909-SDHNU"
"34",0,"0929-HYQEW"
"35",1,"1024-GUALD"
"36",0,"1097-FSPVW"
"37",0,"1104-FEJAM"
"38",1,"1114-CENIM"
"39",0,"1125-SNVCK"
"40",0,"1134-YWTYF"
"41",1,"1251-KRREG"
"42",0,"1304-BCCFO"
"43",1,"1322-AGOQM"
"44",1,"1324-NLTJE"
"45",0,"1356-MKYSK"
"46",0,"1360-RCYRT"
"47",0,"1371-DWPAZ"
"48",0,"1406-PUQVY"
"49",0,"1442-BQPVU"
"50",0,"1452-XRSJV"
"51",0,"1465-LNTLJ"
"52",1,"1496-GGSUK"
"53",1,"1501-SGHBW"
"54",1,"1541-ETJZO"
"55",0,"1564-HJUVY"
"56",1,"1597-FZREH"
"57",1,"1612-EOHDH"
"58",0,"1636-NTNCO"
"59",1,"1660-HSOOQ"
"60",0,"1684-FLBGS"
"61",0,"1697-NVVGY"
"62",0,"1702-CCFNJ"
"63",0,"1703-MGIAB"
"64",0,"1777-JYQPJ"
"65",1,"1794-HBQTJ"
"66",0,"1816-FLZDK"
"67",0,"1845-ZLLIG"
"68",1,"1963-SVUCV"
"69",0,"2045-BMBTJ"
"70",1,"2091-MJTFX"
"71",0,"2108-GLPQB"
"72",1,"2108-YKQTY"
"73",1,"2135-RXIHG"
"74",0,"2155-AMQRX"
"75",1,"2207-NHRJK"
"76",1,"2207-OBZNX"
"77",0,"2209-XADXF"
"78",1,"2232-DMLXU"
"79",0,"2235-DWLJU"
"80",0,"2272-UOINI"
"81",1,"2309-OSFEU"
"82",0,"2338-BQEZT"
"83",0,"2346-DJQTB"
"84",1,"2391-SOORI"
"85",1,"2408-WITXK"
"86",0,"2436-QBZFP"
"87",0,"2458-EOMRE"
"88",1,"2460-FPSYH"
"89",0,"2582-FFFZR"
"90",0,"2607-FBDFF"
"91",0,"2740-TVLFN"
"92",0,"2775-SEFEE"
"93",0,"2782-JEEBU"
"94",0,"2801-NISEI"
"95",1,"2810-FTLEM"
"96",0,"2826-DXLQO"
"97",1,"2842-JTCCU"
"98",0,"2862-PFNIK"
"99",0,"2887-JPYLU"
"100",0,"2971-SGAFL"
"101",0,"2985-JUUBZ"
"102",0,"3058-WQDRE"
"103",1,"3063-QFSZL"
"104",0,"3082-VQXNH"
"105",0,"3090-LETTY"
"106",0,"3097-IDVPU"
"107",1,"3132-TVFDZ"
"108",0,"3164-YAXFY"
"109",1,"3165-HDOEW"
"110",0,"3221-CJMSG"
"111",0,"3234-VKACU"
"112",0,"3255-GRXMG"
"113",0,"3258-SANFR"
"114",1,"3285-UCQVC"
"115",1,"3346-BRMIS"
"116",0,"3347-YJZZE"
"117",0,"3413-BMNZE"
"118",0,"3413-CSSTH"
"119",0,"3439-GVUSX"
"120",0,"3466-WAESX"
"121",1,"3538-WZPHD"
"122",1,"3580-REOAC"
"123",0,"3604-WLABM"
"124",0,"3620-MWJNE"
"125",0,"3621-CHYVB"
"126",0,"3629-WEAAM"
"127",0,"3640-JQGJG"
"128",1,"3656-TKRVZ"
"129",1,"3658-KIBGF"
"130",0,"3665-JATSN"
"131",0,"3689-MOZGR"
"132",0,"3694-DELSO"
"133",0,"3780-YVMFA"
"134",0,"3798-EPWRR"
"135",1,"3806-DXQOM"
"136",0,"3808-HFKDE"
"137",0,"3863-QSTYI"
"138",1,"3866-MDTUB"
"139",0,"3873-NFTGI"
"140",0,"3896-RCYYE"
"141",1,"3946-MHCZW"
"142",1,"3948-XHGNA"
"143",0,"3961-SXAXY"
"144",0,"3999-WRNGR"
"145",0,"4011-ARPHK"
"146",0,"4012-ZTHBR"
"147",1,"4013-UBXWQ"
"148",0,"4065-JJAVA"
"149",0,"4104-PVRPS"
"150",0,"4177-JPDFU"
"151",1,"4237-RLAQD"
"152",0,"4256-ZWTZI"
"153",0,"4282-ACRXS"
"154",0,"4316-XCSLJ"
"155",0,"4324-BZCKL"
"156",0,"4360-QRAVE"
"157",1,"4361-JEIVL"
"158",0,"4431-EDMIQ"
"159",1,"4432-ADRLB"
"160",0,"4452-QIIEB"
"161",0,"4456-RHSNB"
"162",0,"4468-YDOVK"
"163",0,"4482-FTFFX"
"164",0,"4501-VCPFK"
"165",0,"4522-AKYLR"
"166",0,"4581-LNWUM"
"167",0,"4646-QZXTF"
"168",0,"4647-XXZAM"
"169",1,"4701-MLJPN"
"170",0,"4718-DHSMV"
"171",0,"4726-DLWQN"
"172",1,"4729-XKASR"
"173",0,"4747-LCAQL"
"174",0,"4819-HJPIW"
"175",1,"4918-QLLIW"
"176",1,"4925-LMHOK"
"177",0,"4926-UMJZD"
"178",1,"4929-BSTRX"
"179",0,"4950-BDEUX"
"180",1,"4958-GZWIY"
"181",1,"4959-JOSRX"
"182",0,"5061-PBXFW"
"183",1,"5087-SUURX"
"184",1,"5103-MHMHY"
"185",0,"5133-POWUA"
"186",0,"5133-VRSAB"
"187",0,"5155-AZQPB"
"188",1,"5175-AOBHI"
"189",1,"5204-QZXPU"
"190",1,"5233-GEEAX"
"191",1,"5261-QSHQM"
"192",1,"5295-PCJOO"
"193",0,"5307-UVGNB"
"194",0,"5311-IHLEI"
"195",0,"5337-IIWKZ"
"196",0,"5349-AZPEW"
"197",1,"5378-IKEEG"
